date,tmax_c,tmin_c,tmean_c,dewpoint_c,rh_mean_pct,wind_2m_ms,wind_10m_ms,solar_mj,rainfall_mm,wetness_top,wetness_root,wetness_prof
1995-01-01,22.87,16.86,19.88,14.63,72.32,5.74,7.01,10.3,0.0,0.08,0.15,0.15
1995-01-02,22.25,17.65,19.67,12.29,63.1,5.17,6.26,13.41,0.0,0.08,0.15,0.15
1995-01-03,23.68,16.2,20.22,10.94,56.89,1.23,1.47,13.33,0.0,0.08,0.15,0.15
1995-01-04,25.35,17.48,20.87,12.19,59.24,2.3,2.74,13.33,0.0,0.08,0.15,0.15
1995-01-05,24.65,17.81,20.9,15.28,72.42,1.97,2.44,12.73,0.0,0.08,0.15,0.15
1995-01-06,23.47,17.99,20.42,15.17,73.1,3.12,3.78,12.6,0.06,0.09,0.15,0.15
1995-01-07,24.16,17.0,20.0,12.72,65.58,1.73,2.11,13.37,0.0,0.09,0.15,0.15
1995-01-08,24.77,18.93,21.2,12.67,59.48,1.39,1.66,12.71,0.0,0.09,0.15,0.15
1995-01-09,22.98,18.41,20.29,14.63,70.98,3.33,3.99,11.19,0.11,0.09,0.15,0.15
1995-01-10,23.74,17.69,20.53,13.21,64.47,1.7,2.11,13.27,0.03,0.09,0.15,0.15
1995-01-11,25.56,17.13,21.13,12.79,61.67,1.31,1.65,13.76,0.0,0.09,0.15,0.15
1995-01-12,25.84,17.89,21.49,12.26,58.07,2.24,2.82,13.89,0.0,0.09,0.15,0.15
1995-01-13,24.84,18.62,21.24,11.65,55.58,2.83,3.48,14.18,3.55,0.18,0.16,0.15
1995-01-14,25.07,18.92,21.71,14.71,66.06,2.17,2.65,13.55,0.0,0.15,0.15,0.15
1995-01-15,26.21,18.25,21.96,12.36,58.52,2.77,3.44,14.53,0.17,0.14,0.15,0.15
1995-01-16,25.91,17.63,21.31,12.99,62.85,2.27,2.87,14.25,0.0,0.13,0.15,0.15
1995-01-17,25.25,18.02,21.35,12.65,58.88,2.41,3.0,13.59,0.0,0.12,0.15,0.15
1995-01-18,26.59,18.56,22.05,14.66,65.71,2.55,3.22,13.9,0.0,0.12,0.15,0.15
1995-01-19,24.84,19.01,21.46,16.33,74.03,2.93,3.49,14.24,0.0,0.12,0.15,0.15
1995-01-20,24.31,19.49,21.24,17.02,77.59,5.35,6.49,13.73,0.0,0.12,0.15,0.15
1995-01-21,24.01,18.67,20.91,14.0,65.75,4.49,5.5,15.04,0.0,0.12,0.15,0.15
1995-01-22,23.67,17.9,20.2,14.69,71.72,4.38,5.33,14.32,0.0,0.11,0.15,0.15
1995-01-23,22.91,17.87,20.01,13.5,66.85,5.43,6.58,12.9,0.0,0.11,0.15,0.15
1995-01-24,22.74,17.34,19.69,11.97,61.7,4.79,5.83,14.71,0.0,0.11,0.15,0.15
1995-01-25,23.56,17.82,20.16,14.55,71.11,4.2,5.07,15.1,0.0,0.11,0.15,0.15
1995-01-26,21.13,18.02,19.17,13.97,72.36,6.09,7.26,10.37,0.0,0.11,0.15,0.15
1995-01-27,21.69,16.41,18.77,13.37,71.57,4.29,5.19,13.51,0.0,0.11,0.15,0.15
1995-01-28,23.33,16.26,19.54,12.31,64.4,2.23,2.77,16.41,0.0,0.11,0.15,0.15
1995-01-29,24.86,17.59,20.33,10.87,57.34,1.84,2.22,16.56,0.0,0.11,0.15,0.15
1995-01-30,24.25,17.39,20.0,10.45,56.83,1.96,2.33,12.32,0.0,0.11,0.15,0.15
1995-01-31,25.0,17.87,20.8,11.97,59.25,1.75,2.12,17.17,0.0,0.1,0.15,0.15
1995-02-01,25.49,18.42,21.06,13.28,63.69,2.92,3.5,16.05,0.0,0.1,0.15,0.15
1995-02-02,25.26,18.64,21.15,15.8,74.22,3.1,3.77,15.01,0.0,0.1,0.15,0.15
1995-02-03,26.08,17.62,21.32,15.82,74.17,2.41,2.87,14.85,0.0,0.1,0.15,0.15
1995-02-04,28.12,19.33,23.11,14.19,61.08,1.87,2.34,15.72,0.0,0.1,0.15,0.15
1995-02-05,29.63,19.88,24.36,16.97,66.97,4.5,5.5,13.91,0.02,0.1,0.15,0.15
1995-02-06,29.48,21.78,24.89,16.3,63.05,4.29,5.35,12.0,0.0,0.1,0.15,0.15
1995-02-07,29.64,20.96,24.4,15.33,60.86,3.83,4.75,10.94,0.0,0.1,0.15,0.15
1995-02-08,29.76,20.88,24.19,16.07,65.33,3.54,4.34,9.8,0.03,0.1,0.15,0.15
1995-02-09,25.04,19.53,22.14,17.25,74.38,3.66,4.37,5.83,2.18,0.14,0.15,0.15
1995-02-10,21.6,17.83,20.01,7.99,47.14,7.01,8.38,16.94,0.0,0.16,0.16,0.16
1995-02-11,21.98,16.91,19.23,10.86,59.38,5.07,6.09,17.22,0.0,0.14,0.15,0.16
1995-02-12,21.96,16.2,18.74,11.04,61.98,3.0,3.66,17.08,0.0,0.13,0.15,0.16
1995-02-13,23.1,16.42,19.28,10.91,60.46,2.46,2.99,17.75,0.0,0.12,0.15,0.15
1995-02-14,24.87,17.06,20.53,10.0,53.42,1.82,2.28,17.65,0.0,0.12,0.15,0.15
1995-02-15,26.23,17.2,21.33,10.66,52.93,3.33,4.08,15.02,0.0,0.11,0.15,0.15
1995-02-16,25.78,18.41,21.24,11.92,58.87,2.53,3.07,17.8,0.0,0.11,0.15,0.15
1995-02-17,25.29,18.3,21.25,13.21,64.41,4.07,5.0,17.73,0.0,0.11,0.15,0.15
1995-02-18,25.68,18.55,21.32,13.95,65.2,2.65,3.08,9.92,0.04,0.11,0.15,0.15
1995-02-19,24.52,19.66,21.73,14.67,64.85,2.77,3.24,15.68,0.22,0.11,0.15,0.15
1995-02-20,20.19,17.6,18.52,14.62,78.21,5.51,6.48,6.65,11.08,0.25,0.17,0.16
1995-02-21,23.17,16.99,19.9,11.68,60.37,3.1,3.77,19.02,0.02,0.23,0.18,0.17
1995-02-22,25.68,17.14,21.41,10.92,52.44,1.15,1.34,18.54,0.0,0.19,0.17,0.17
1995-02-23,27.53,18.24,22.86,12.61,54.86,1.74,2.14,15.72,2.88,0.19,0.17,0.17
1995-02-24,22.28,17.15,19.64,13.09,67.33,6.77,8.02,17.04,6.39,0.29,0.19,0.19
1995-02-25,22.15,17.61,19.31,13.58,69.98,5.38,6.38,14.86,0.0,0.22,0.19,0.19
1995-02-26,23.29,16.84,19.83,11.23,59.23,1.34,1.64,16.34,0.0,0.2,0.19,0.19
1995-02-27,25.18,18.59,20.89,14.24,67.57,1.95,2.3,17.46,0.1,0.18,0.18,0.19
1995-02-28,23.84,18.08,20.53,14.24,68.75,2.96,3.54,17.65,0.38,0.19,0.18,0.19
1995-03-01,24.3,18.61,20.91,11.43,56.14,1.41,1.68,17.86,0.13,0.18,0.18,0.19
1995-03-02,24.8,17.15,20.75,12.85,62.41,4.3,5.22,17.34,0.1,0.18,0.18,0.18
1995-03-03,22.53,18.37,19.97,13.72,68.91,4.92,5.85,10.28,0.23,0.18,0.18,0.18
1995-03-04,24.97,17.82,21.21,11.07,55.15,3.31,4.05,19.39,0.16,0.18,0.18,0.18
1995-03-05,25.61,17.51,21.13,11.69,57.5,2.46,2.95,19.77,0.0,0.17,0.18,0.18
1995-03-06,25.03,18.36,21.44,14.68,68.06,2.17,2.63,18.5,0.17,0.16,0.18,0.18
1995-03-07,26.56,17.56,22.05,12.5,58.07,1.6,1.92,17.55,0.01,0.16,0.18,0.18
1995-03-08,26.03,18.9,22.16,11.34,52.77,1.55,1.83,19.11,0.01,0.15,0.18,0.18
1995-03-09,26.28,18.93,22.19,14.18,64.86,2.08,2.44,19.44,0.01,0.14,0.18,0.18
1995-03-10,27.15,16.9,22.03,12.02,59.97,1.71,2.04,20.31,0.0,0.13,0.18,0.18
1995-03-11,27.99,19.35,23.49,14.46,59.96,2.96,3.62,19.22,1.2,0.13,0.18,0.18
1995-03-12,22.84,19.7,21.29,17.35,78.52,5.62,6.65,4.41,12.61,0.33,0.2,0.2
1995-03-13,22.76,19.2,20.57,16.31,77.06,5.48,6.45,5.64,11.04,0.32,0.21,0.21
1995-03-14,20.74,18.07,19.45,14.91,75.36,5.49,6.47,5.98,6.68,0.35,0.23,0.23
1995-03-15,22.5,18.42,20.26,15.53,74.64,5.42,6.42,19.3,2.81,0.32,0.24,0.24
1995-03-16,24.72,17.45,20.72,13.23,63.9,2.48,2.97,20.75,0.0,0.27,0.23,0.24
1995-03-17,27.9,18.62,22.64,12.53,56.35,2.55,3.14,15.03,0.0,0.24,0.23,0.23
1995-03-18,28.61,19.75,23.7,13.65,55.29,2.62,3.25,15.1,0.0,0.23,0.22,0.23
1995-03-19,28.42,21.46,24.47,18.01,68.2,2.31,2.84,17.69,0.04,0.23,0.22,0.23
1995-03-20,28.17,22.21,24.75,19.23,72.18,3.66,4.44,7.02,0.53,0.24,0.22,0.23
1995-03-21,28.2,21.77,24.46,18.28,69.5,3.29,3.95,10.08,0.04,0.24,0.22,0.23
1995-03-22,27.16,21.42,24.09,18.74,73.22,2.76,3.32,12.85,5.09,0.28,0.22,0.23
1995-03-23,25.0,20.42,22.72,17.99,75.38,3.4,3.97,16.79,0.61,0.29,0.23,0.24
1995-03-24,24.89,19.36,21.85,16.45,73.28,3.82,4.54,19.75,0.0,0.26,0.23,0.23
1995-03-25,27.32,18.73,22.61,16.83,72.2,2.52,3.02,21.82,0.0,0.24,0.22,0.23
1995-03-26,28.02,19.54,23.53,16.78,68.79,4.09,4.93,22.39,0.0,0.23,0.22,0.23
1995-03-27,26.38,20.3,23.03,15.36,64.8,6.66,7.99,13.77,0.0,0.23,0.22,0.23
1995-03-28,23.47,18.59,20.79,12.28,58.85,5.98,7.1,21.71,0.0,0.22,0.22,0.23
1995-03-29,23.76,17.53,20.66,13.21,63.55,4.5,5.42,22.04,0.0,0.22,0.22,0.22
1995-03-30,24.73,18.12,21.3,13.26,61.31,5.55,6.68,23.31,0.0,0.21,0.21,0.22
1995-03-31,25.24,18.5,21.66,13.76,62.56,3.78,4.6,22.2,0.0,0.21,0.21,0.22
1995-04-01,29.62,17.81,23.06,12.86,59.23,1.26,1.56,22.99,0.0,0.21,0.21,0.22
